id,arrival_time,switch_processing_time,control_plane_delay,total_delay,is_hit,is_speculative
0,0.0,3.6324716128740935e-09,0.008455238043146573,0.008455241675618187,0,1
1,0.000123,1.4443740450294227e-10,0.0018816458153392002,0.0018816459597766047,0,1
2,0.065516,5.780311669746243e-09,0.01795146374137157,0.01795146952168324,0,1
3,0.125605,1.8333826795926492e-09,0.022406726389862634,0.022406728223245312,0,1
4,0.138757,6.392473624512511e-09,0.0021064566897620184,0.002106463082235643,0,1
5,0.190342,4.039733756040662e-09,0.004340682361229479,0.004340686400963235,0,1
6,0.298227,1.0038070696963307e-09,0.0,1.0038070696963307e-09,1,0
7,0.329954,7.699600337350913e-09,0.03366309766254259,0.03366310536214293,0,1
8,0.377163,1.322130745252389e-09,0.0008726024467827186,0.0008726037689134638,0,1
9,0.377205,4.626006848404127e-09,0.01305609732583617,0.013056101951843018,0,1
10,0.388521,1.6164690731584683e-09,0.0,1.6164690731584683e-09,1,1
11,0.563713,5.780777928162576e-09,0.007295362529246487,0.007295368310024415,0,1
12,0.786454,2.4849670821883043e-10,0.0014834832325952218,0.00148348348109193,0,1
13,0.833198,1.0349205199296882e-09,0.051704345993792124,0.05170434702871264,0,1
14,0.896602,3.6767818994886522e-09,0.00864622654480645,0.00864623022158835,0,1
15,1.101064,6.6367144350681005e-09,0.0,6.6367144350681005e-09,1,1
16,1.131624,3.904013158017474e-09,0.024436137505856145,0.024436141409869303,0,1
17,1.14016,8.24922056568661e-09,0.005158345319173886,0.005158353568394451,0,1
18,1.143916,2.2097975790609986e-09,0.030549880203135926,0.030549882412933504,0,1
19,1.348419,2.105165143103965e-09,0.0,2.105165143103965e-09,1,1
20,1.350826,1.0016100770778866e-08,0.0,1.0016100770778866e-08,1,1
21,1.351265,8.867958894413069e-09,0.0,8.867958894413069e-09,1,1
22,1.834237,3.862699531103029e-09,0.0,3.862699531103029e-09,1,1
23,1.920241,1.2785411140049553e-08,0.0,1.2785411140049553e-08,1,1
24,2.124754,5.10974766512786e-10,0.0,5.10974766512786e-10,1,1
25,2.141278,5.426470630101998e-10,0.0,5.426470630101998e-10,1,1
26,2.322545,6.045048938201085e-09,0.022116469030467715,0.022116475075516652,0,1
27,2.322897,8.691503639298188e-10,0.0032237365321752414,0.0032237374013256055,0,1
28,2.962379,5.5812068029897345e-09,0.0,5.5812068029897345e-09,1,1
29,3.166878,8.974466009471405e-10,0.0,8.974466009471405e-10,1,1
30,3.361572,6.042768680771683e-09,0.006687184509899344,0.006687190552668024,0,1
31,3.673047,5.707772774639102e-09,0.0,5.707772774639102e-09,1,0
32,3.875735,3.6859989428790506e-09,0.0,3.6859989428790506e-09,1,1
33,3.972952,2.2183246102862372e-10,0.0,2.2183246102862372e-10,1,0
34,4.059756,1.2676053280891352e-09,0.008561487838624827,0.008561489106230155,0,1
35,4.081156,6.416314428636912e-10,0.0,6.416314428636912e-10,1,1
36,4.129804,3.4669031770499743e-09,0.0014851110844837498,0.0014851145513869268,0,1
37,4.215684,2.71269421424789e-10,0.0019635182941582507,0.001963518565427672,0,1
38,4.249549,2.920281341074014e-09,0.021003573573017957,0.021003576493299297,0,1
39,4.250969,1.4905610517354363e-08,0.0,1.4905610517354363e-08,1,1
40,4.881577,3.2520423218041945e-09,0.006182611468494429,0.006182614720536751,0,1
41,4.919386,5.0707449528683705e-09,0.0,5.0707449528683705e-09,1,1
42,5.086532,1.9623100532942617e-09,0.001250849847734961,0.0012508518100450144,0,1
43,5.123898,2.6226455028242204e-10,0.0,2.6226455028242204e-10,1,1
44,5.182085,5.075842817177567e-09,0.016727286519013222,0.016727291594856038,0,1
45,5.182195,5.547260442962748e-09,0.010548855031531409,0.010548860578791851,0,1
46,5.182278,2.7631792783560245e-09,0.010688457493632458,0.010688460256811737,0,1
47,5.182362,1.1733075127716597e-09,0.010785876826791625,0.010785878000099136,0,1
48,5.182447,3.771108129409805e-09,0.01380393286163811,0.013803936632746238,0,1
49,5.18253,4.922381896949013e-10,0.015348957665772482,0.015348958158010672,0,1
50,5.182679,5.8116283528605725e-09,0.01187700901099267,0.011877014822621022,0,1
51,5.182772,3.434498877457346e-09,0.03703429881384755,0.03703430224834643,0,1
52,5.185612,1.1378141384956267e-09,0.003552765074253379,0.0035527662120675174,0,1
53,5.18573,1.2916254677251252e-09,0.0004936766060251687,0.0004936778976506364,0,1
54,5.186045,1.1715543860730647e-08,0.0008349415730948215,0.0008349532886386822,0,1
55,5.186147,4.672480642386138e-09,0.009965432838988259,0.0099654375114689,0,1
56,5.186234,2.3736091676035997e-09,0.00013329454864657178,0.0001332969222557394,0,1
57,5.18632,9.232749468346212e-09,0.004860317903838917,0.004860327136588386,0,1
58,5.462667,4.011082215362694e-09,0.012397317352545635,0.01239732136362785,0,1
59,5.463535,5.623942335796882e-09,0.011860171914250326,0.011860177538192662,0,1
60,5.465174,2.096223823953327e-09,0.0053169277571054495,0.005316929853329273,0,1
61,5.465256,1.3708091908889485e-09,0.03468490932535347,0.03468491069616266,0,1
62,5.467449,1.7022999390167262e-09,0.0015936111206036427,0.0015936128229035818,0,1
63,5.469024,6.925211972320694e-10,0.0288340499057559,0.028834050598277098,0,1
64,5.469101,2.1649595746220345e-09,0.013226347755131113,0.013226349920090688,0,1
65,5.470314,1.2260621172932382e-08,0.012072698810951622,0.012072711071572794,0,1
66,5.471487,2.4594573253040804e-09,0.028517927885345,0.028517930344802326,0,1
67,5.473724,6.668345065638308e-09,0.0,6.668345065638308e-09,1,1
68,5.473948,1.3620917106945242e-09,0.0,1.3620917106945242e-09,1,1
69,5.475318,8.67993237418175e-09,0.0,8.67993237418175e-09,1,1
70,5.476459,7.148378247166031e-09,0.0,7.148378247166031e-09,1,1
71,5.476604,2.510230335859621e-09,0.0,2.510230335859621e-09,1,1
72,5.478523,1.1168923776513703e-09,0.0,1.1168923776513703e-09,1,1
73,5.480367,6.2343401711615935e-09,0.0,6.2343401711615935e-09,1,1
74,5.480446,9.331625170732236e-09,0.0,9.331625170732236e-09,1,1
75,5.481395,2.2994470823846705e-09,0.0,2.2994470823846705e-09,1,1
76,5.482612,2.8722016943476997e-09,0.0,2.8722016943476997e-09,1,1
77,5.483261,2.2049251694525466e-09,0.0,2.2049251694525466e-09,1,1
78,5.484442,1.3704569402968735e-09,0.01059520837480713,0.01059520974526407,0,1
79,5.486798,2.475082912111623e-09,0.010723102925051615,0.010723105400134528,0,1
80,5.540494,2.2492277182279234e-09,0.0044083638156911685,0.004408366064918887,0,1
81,5.590082,1.086127987966672e-09,0.0,1.086127987966672e-09,1,1
82,5.591464,2.1835788843459173e-08,0.0,2.1835788843459173e-08,1,1
83,5.71339,1.1790679984463542e-10,0.007942510925478246,0.007942511043385047,0,1
84,5.71424,4.115230400811929e-09,0.0,4.115230400811929e-09,1,1
85,5.714325,3.884818704857992e-10,0.0,3.884818704857992e-10,1,1
86,5.714393,1.1140682739582157e-08,0.0,1.1140682739582157e-08,1,1
87,5.717825,5.861698095292875e-10,0.00982893919056047,0.009828939776730279,0,1
88,5.718723,5.315249105002022e-10,0.0,5.315249105002022e-10,1,1
89,5.7188,6.2040967023420625e-09,0.0,6.2040967023420625e-09,1,1
90,5.72141,1.0657022885749643e-08,0.011883946530985786,0.011883957188008672,0,1
91,5.722451,1.5474078140575907e-09,0.0,1.5474078140575907e-09,1,1
92,5.723226,1.203771732933439e-08,0.0,1.203771732933439e-08,1,1
93,5.723318,4.3329615974837885e-09,0.0,4.3329615974837885e-09,1,1
94,5.724652,2.2289899781010238e-09,0.0,2.2289899781010238e-09,1,1
95,5.734385,9.574188019454974e-09,0.0,9.574188019454974e-09,1,1
96,5.735334,1.4130031086107512e-09,0.0,1.4130031086107512e-09,1,1
97,5.757115,7.580742170971948e-09,0.0,7.580742170971948e-09,1,1
98,5.7572,2.3288878781506755e-10,0.0,2.3288878781506755e-10,1,1
99,5.758169,1.0815906880200626e-08,0.0,1.0815906880200626e-08,1,1
100,5.758247,1.6177292625348308e-09,0.0,1.6177292625348308e-09,1,1
101,5.759633,4.348519743074888e-09,0.0,4.348519743074888e-09,1,1
102,5.759721,1.207665645012338e-08,0.0,1.207665645012338e-08,1,1
103,5.759791,2.452533036087206e-08,0.0,2.452533036087206e-08,1,1
104,5.760176,3.212210336851935e-10,0.0,3.212210336851935e-10,1,1
105,5.763576,1.3188991244930977e-08,0.0,1.3188991244930977e-08,1,1
106,5.763623,3.6403559932429642e-09,0.0,3.6403559932429642e-09,1,1
107,5.763999,1.4536966765036727e-08,0.0,1.4536966765036727e-08,1,1
108,5.764619,3.958555166568446e-09,0.0,3.958555166568446e-09,1,1
109,5.76526,1.5337239507154167e-09,0.0,1.5337239507154167e-09,1,1
110,5.766194,5.209460832343711e-09,0.0,5.209460832343711e-09,1,1
111,5.766255,3.108649950690276e-09,0.0,3.108649950690276e-09,1,1
112,5.766942,4.984890087121557e-09,0.0,4.984890087121557e-09,1,1
113,5.767258,3.5793806826070345e-09,0.0,3.5793806826070345e-09,1,1
114,5.767318,1.257592225793411e-09,0.0,1.257592225793411e-09,1,1
115,5.769182,6.6306153526443034e-09,0.0,6.6306153526443034e-09,1,1
116,5.769242,8.038730876224416e-09,0.0,8.038730876224416e-09,1,1
117,5.769304,1.0462498497356914e-08,0.0,1.0462498497356914e-08,1,1
118,5.76962,1.8021513731807046e-09,0.0,1.8021513731807046e-09,1,1
119,5.769683,4.698713780243613e-09,0.0,4.698713780243613e-09,1,1
120,5.770036,4.4416198975995417e-10,0.0,4.4416198975995417e-10,1,1
121,5.775121,1.922270659111988e-09,0.0,1.922270659111988e-09,1,1
122,5.775599,8.450507860157551e-09,0.0,8.450507860157551e-09,1,1
123,5.775644,1.029452614871906e-08,0.0,1.029452614871906e-08,1,1
124,5.775676,1.1068639908550631e-08,0.0,1.1068639908550631e-08,1,1
125,5.775704,5.85446192967659e-09,0.0,5.85446192967659e-09,1,1
126,5.77576,1.2382344417931584e-08,0.0,1.2382344417931584e-08,1,1
127,5.775792,2.614451150536874e-09,0.0,2.614451150536874e-09,1,1
128,5.775845,8.873285567250188e-10,0.0,8.873285567250188e-10,1,1
129,5.775908,1.0172628844107736e-09,0.0,1.0172628844107736e-09,1,1
130,5.775962,1.2665398508636647e-09,0.0,1.2665398508636647e-09,1,1
131,5.77666,5.946841087493669e-12,0.0,5.946841087493669e-12,1,1
132,5.776723,1.285969248438409e-09,0.0,1.285969248438409e-09,1,1
133,5.77676,1.3366752551878998e-08,0.0,1.3366752551878998e-08,1,1
134,5.778242,6.706959726142201e-09,0.0,6.706959726142201e-09,1,1
135,5.78133,1.2473403356492965e-08,0.0,1.2473403356492965e-08,1,1
136,5.782881,4.6253704780778186e-09,0.0,4.6253704780778186e-09,1,1
137,5.783366,3.0295249452061385e-09,0.0,3.0295249452061385e-09,1,1
138,5.784102,1.8805915517999447e-09,0.0,1.8805915517999447e-09,1,1
139,5.784168,2.3981035688468757e-09,0.0,2.3981035688468757e-09,1,1
140,5.785068,5.147465293026647e-09,0.0,5.147465293026647e-09,1,1
141,5.786124,8.213228935164704e-09,0.0,8.213228935164704e-09,1,1
142,5.787352,6.993441644173741e-10,0.0,6.993441644173741e-10,1,1
143,5.787424,6.557142879602301e-09,0.0,6.557142879602301e-09,1,1
144,5.796352,2.726477773126543e-11,0.0,2.726477773126543e-11,1,1
145,5.797125,5.258567035478917e-09,0.0,5.258567035478917e-09,1,1
146,5.802126,3.0169762998598203e-09,0.0,3.0169762998598203e-09,1,1
147,5.802998,1.1197520243729276e-09,0.0,1.1197520243729276e-09,1,1
148,5.811171,4.986541141351876e-09,0.0,4.986541141351876e-09,1,1
149,5.812142,8.975712742425395e-11,0.0,8.975712742425395e-11,1,1
150,5.812823,9.117819530091896e-09,0.0,9.117819530091896e-09,1,1
151,5.812899,3.7279531980356515e-09,0.0,3.7279531980356515e-09,1,1
152,5.814995,2.3176265464997725e-09,0.0,2.3176265464997725e-09,1,1
153,5.815646,2.7734480588601218e-09,0.0,2.7734480588601218e-09,1,1
154,5.815719,1.5400725761294492e-09,0.0,1.5400725761294492e-09,1,1
155,5.816708,2.95663317579145e-09,0.0,2.95663317579145e-09,1,1
156,5.82478,2.0271746531587342e-08,0.0,2.0271746531587342e-08,1,1
157,5.8249,6.972725325672869e-09,0.0,6.972725325672869e-09,1,1
158,5.838343,3.6795030511981766e-09,0.006206080602776224,0.006206084282279275,0,1
159,5.94951,3.491984851566443e-10,0.0,3.491984851566443e-10,1,0
160,5.981374,4.875426002300554e-09,0.0,4.875426002300554e-09,1,0
161,5.982204,6.358037381225983e-09,0.0,6.358037381225983e-09,1,1
162,5.988316,2.995879903744587e-09,0.0,2.995879903744587e-09,1,0
163,5.994028,5.772380768207627e-09,0.0,5.772380768207627e-09,1,0
164,5.995737,6.59451390433874e-09,0.0,6.59451390433874e-09,1,1
165,5.997315,8.114464719202201e-10,0.0,8.114464719202201e-10,1,1
166,5.998869,4.695181176839761e-09,0.0,4.695181176839761e-09,1,1
167,5.999975,9.92625572062365e-09,0.0,9.92625572062365e-09,1,0
168,6.001674,5.844343541630858e-11,0.0,5.844343541630858e-11,1,1
169,6.001754,8.045055902251547e-09,0.0,8.045055902251547e-09,1,1
170,6.006157,1.534047704784653e-08,0.0,1.534047704784653e-08,1,0
171,6.006514,5.5566478717941e-10,0.0,5.5566478717941e-10,1,0
172,6.006572,2.9678546190313497e-09,0.0,2.9678546190313497e-09,1,0
