lti_number,lti_start_time,lti_end_time,avg_rss_mb,ram_utilization_percent,cpu_utilization_percent,rss_mb,vms_mb,peak_rss_mb,cpu_time_s_delta,wall_time_s_delta
0,0.0,0.125605,541.73828125,6.613016128540039,100.84491885549092,543.1796875,3325.3828125,584.02734375,0.46999999999999986,0.46606215299107134
1,0.125605,0.298227,543.3671875,6.632900238037109,99.33753229515631,543.5546875,3325.3828125,584.02734375,0.3400000000000003,0.3422674110624939
2,0.298227,0.563713,543.5703125,6.635379791259766,99.29986953275255,543.5859375,3325.3828125,584.02734375,0.18999999999999995,0.19133962702471763
3,0.563713,0.786454,543.599609375,6.635737419128418,99.40719703171452,543.61328125,3325.3828125,584.02734375,0.20999999999999996,0.21125230996403843
4,0.786454,0.896602,543.642578125,6.636261940002441,98.62670491629738,543.671875,3325.3828125,584.02734375,0.23999999999999977,0.24334180098958313
5,0.896602,1.101064,543.6875,6.636810302734375,102.83248555165972,543.703125,3325.3828125,584.02734375,0.28000000000000025,0.2722874960163608
6,1.101064,1.348419,543.720703125,6.637215614318848,97.60700377804008,543.73828125,3325.3828125,584.02734375,0.29000000000000004,0.29710982693359256
7,1.348419,1.834237,543.763671875,6.637740135192871,100.9961346301012,543.7890625,3325.3828125,584.02734375,0.31999999999999984,0.31684380909428
8,1.834237,2.124754,543.8046875,6.638240814208984,100.93425663632942,543.8203125,3325.3828125,584.02734375,0.31999999999999984,0.3170380509691313
9,2.124754,2.322545,543.828125,6.638526916503906,100.2259043127116,543.8359375,3325.3828125,584.02734375,0.3700000000000001,0.36916603799909353
10,2.322545,2.962379,544.0390625,6.641101837158203,98.37352289566999,544.2421875,3325.3828125,584.02734375,0.4099999999999997,0.4167788119520992
11,2.962379,3.166878,544.251953125,6.64370059967041,100.6405792436815,544.26171875,3325.3828125,584.02734375,0.45999999999999996,0.45707209105603397
12,3.166878,3.361572,544.271484375,6.643939018249512,99.64844456813704,544.28125,3325.3828125,584.02734375,0.4900000000000002,0.4917286989511922
13,3.361572,3.673047,544.306640625,6.6443681716918945,103.11568093340513,544.33203125,3325.3828125,584.02734375,0.17999999999999972,0.1745612290687859
14,3.673047,3.875735,544.341796875,6.644797325134277,99.20659382662603,544.3515625,3325.3828125,584.02734375,0.27000000000000046,0.2721593289170414
15,3.875735,4.059756,544.3515625,6.644916534423828,99.39509510234514,544.3515625,3325.3828125,584.02734375,0.2400000000000002,0.24146060703787953
16,4.059756,4.215684,544.3515625,6.644916534423828,98.27725376939188,544.3515625,3325.3828125,584.02734375,0.2599999999999998,0.26455765706487
17,4.215684,4.881577,544.3515625,6.644916534423828,101.44028069177193,544.3515625,3325.3828125,584.02734375,0.2699999999999996,0.2661664559273049
18,4.881577,5.086532,544.3515625,6.644916534423828,100.30738516244388,544.3515625,3325.3828125,584.02734375,0.28000000000000025,0.2791419590357691
19,5.086532,5.462667,544.3515625,6.644916534423828,99.71819053616345,544.3515625,3325.3828125,584.02734375,0.29000000000000004,0.29081955703441054
20,5.462667,5.590082,544.3515625,6.644916534423828,99.32674726641369,544.3515625,3325.3828125,584.02734375,0.33999999999999986,0.34230457490775734
21,5.590082,5.71339,544.3515625,6.644916534423828,102.0653800581678,544.3515625,3325.3828125,584.02734375,0.28000000000000025,0.27433396107517183
22,5.71339,5.814995,544.3515625,6.644916534423828,98.78001217167296,544.3515625,3325.3828125,584.02734375,0.41000000000000103,0.4150637269485742
23,5.814995,5.94951,544.3515625,6.644916534423828,101.67728100969657,544.3515625,3325.3828125,584.02734375,0.25,0.24587596906349063
24,5.94951,6.052736,544.353515625,6.644940376281738,99.92472602919173,544.35546875,3325.3828125,584.02734375,0.4399999999999995,0.4403314549708739
25,6.052736,6.154,544.35546875,6.644964218139648,100.17637646103988,544.35546875,3325.3828125,584.02734375,0.2699999999999996,0.2695246220100671
26,6.154,6.348524,544.35546875,6.644964218139648,100.2799800955773,544.35546875,3325.3828125,584.02734375,0.370000000000001,0.3689669659361243
