lti_number,lti_start_time,lti_end_time,avg_rss_mb,ram_utilization_percent,cpu_utilization_percent,rss_mb,vms_mb,peak_rss_mb,cpu_time_s_delta,wall_time_s_delta
0,0.0,0.125605,542.521484375,6.622576713562012,99.94598822671308,543.98046875,3326.5078125,583.66015625,0.9300000000000002,0.9305025809444487
1,0.125605,0.298227,544.173828125,6.642746925354004,99.4270976873749,544.3671875,3326.5078125,583.66015625,0.6800000000000002,0.6839181830873713
2,0.298227,0.563713,544.388671875,6.645369529724121,101.33145137903745,544.41015625,3326.5078125,583.66015625,0.3599999999999999,0.3552697559352964
3,0.563713,0.786454,544.421875,6.645774841308594,98.58480986762682,544.43359375,3326.5078125,583.66015625,0.3999999999999999,0.40574202104471624
4,0.786454,0.896602,544.45703125,6.646203994750977,101.51981961031638,544.48046875,3326.5078125,583.66015625,0.4800000000000004,0.47281407890841365
5,0.896602,1.101064,544.498046875,6.64670467376709,98.69999201506823,544.515625,3326.5078125,583.66015625,0.5199999999999996,0.5268490801099688
6,1.101064,1.348419,544.533203125,6.647133827209473,100.38057851353399,544.55078125,3326.5078125,583.66015625,0.5899999999999999,0.5877630999311805
7,1.348419,1.834237,544.580078125,6.647706031799316,100.55560530487635,544.609375,3326.5078125,583.66015625,0.6300000000000008,0.6265190270496532
8,1.834237,2.124754,544.625,6.64825439453125,100.13884537808605,544.640625,3326.5078125,583.66015625,0.6299999999999999,0.629126486950554
9,2.124754,2.322545,544.64453125,6.648492813110352,99.92533592481135,544.6484375,3326.5078125,583.66015625,0.7299999999999995,0.7305454550078139
10,2.322545,2.962379,544.8515625,6.651020050048828,99.82289011128196,545.0546875,3326.5078125,583.66015625,0.8499999999999996,0.8515081050572917
11,2.962379,3.166878,545.06640625,6.653642654418945,99.71193688269608,545.078125,3326.5078125,583.66015625,0.9199999999999999,0.922657836927101
12,3.166878,3.361572,545.08984375,6.653928756713867,99.52091786090023,545.1015625,3326.5078125,583.66015625,0.9900000000000002,0.994765745010227
13,3.361572,3.673047,545.1171875,6.654262542724609,99.97879291513301,545.1328125,3326.5078125,583.66015625,0.3200000000000003,0.32006787706632167
14,3.673047,3.875735,545.134765625,6.654477119445801,100.50346395165126,545.13671875,3326.5078125,583.66015625,0.5299999999999994,0.5273450079839677
15,3.875735,4.059756,545.13671875,6.654500961303711,99.54555055825425,545.13671875,3326.5078125,583.66015625,0.33999999999999986,0.34155218198429793
16,4.059756,4.215684,545.138671875,6.654524803161621,101.32981152679801,545.140625,3326.5078125,583.66015625,0.27000000000000135,0.26645662903320044
17,4.215684,4.881577,545.140625,6.654548645019531,97.89774755327905,545.140625,3326.5078125,583.66015625,0.2599999999999998,0.26558322994969785
18,4.881577,5.086532,545.140625,6.654548645019531,100.54633935625365,545.140625,3326.5078125,583.66015625,0.27999999999999936,0.2784785620169714
19,5.086532,5.462667,545.140625,6.654548645019531,100.23314161142274,545.140625,3326.5078125,583.66015625,0.2900000000000009,0.28932546195574105
20,5.462667,5.590082,545.140625,6.654548645019531,100.36696613021346,545.140625,3326.5078125,583.66015625,0.33999999999999986,0.33875687699764967
21,5.590082,5.71339,545.140625,6.654548645019531,99.51053824002092,545.140625,3326.5078125,583.66015625,0.2699999999999996,0.27132804703433067
22,5.71339,5.814995,545.140625,6.654548645019531,100.31762320464748,545.140625,3326.5078125,583.66015625,0.41000000000000014,0.4087018680293113
23,5.814995,5.94951,545.140625,6.654548645019531,101.70264510101926,545.140625,3326.5078125,583.66015625,0.25,0.2458146489225328
24,5.94951,6.052736,545.142578125,6.654572486877441,99.52145385810299,545.14453125,3326.5078125,583.66015625,0.4299999999999997,0.43206764303613454
25,6.052736,6.154,545.14453125,6.654596328735352,101.12742395528787,545.14453125,3326.5078125,583.66015625,0.2699999999999996,0.26698989199940115
26,6.154,6.348524,545.14453125,6.654596328735352,98.23650412474888,545.14453125,3326.5078125,583.66015625,0.3600000000000012,0.3664625519886613
27,6.348524,6.995422,545.14453125,6.654596328735352,100.9435078783159,545.14453125,3326.5078125,583.66015625,0.41000000000000014,0.4061677750432864
28,6.995422,7.199891,545.14453125,6.654596328735352,99.65885849189465,545.14453125,3326.5078125,583.66015625,0.40999999999999837,0.4114034679951146
29,7.199891,8.960382,545.14453125,6.654596328735352,102.1306309851959,545.14453125,3326.5078125,583.66015625,0.19000000000000128,0.1860362539300695
30,8.960382,9.164843,545.14453125,6.654596328735352,98.32365052883016,545.14453125,3326.5078125,583.66015625,0.16000000000000014,0.16272788809146732
31,9.164843,9.999248,545.14453125,6.654596328735352,99.73571443811774,545.14453125,3326.5078125,583.66015625,0.16999999999999993,0.17045047599822283
32,9.999248,10.203727,545.14453125,6.654596328735352,101.46619724697099,545.14453125,3326.5078125,583.66015625,0.1899999999999995,0.18725447996985167
33,10.203727,11.037938,545.14453125,6.654596328735352,97.94611071250944,545.14453125,3326.5078125,583.66015625,0.1999999999999993,0.20419391698669642
34,11.037938,11.24246,545.14453125,6.654596328735352,98.74105300774322,545.14453125,3326.5078125,583.66015625,0.21000000000000085,0.2126774969510734
35,11.24246,11.540238,545.14453125,6.654596328735352,100.09178961771805,545.14453125,3326.5078125,583.66015625,0.21999999999999886,0.21979824802838266
36,11.540238,12.062265,545.14453125,6.654596328735352,102.18498621700196,545.14453125,3326.5078125,583.66015625,0.240000000000002,0.2348681630101055
37,12.062265,12.266839,545.14453125,6.654596328735352,98.8374198833749,545.14453125,3326.5078125,583.66015625,0.23999999999999844,0.2428230120567605
38,12.266839,12.626493,545.14453125,6.654596328735352,101.10109834006136,545.14453125,3326.5078125,583.66015625,0.21000000000000085,0.20771287695970386
39,12.626493,12.796768,545.14453125,6.654596328735352,97.57342464064234,545.14453125,3326.5078125,583.66015625,0.21000000000000085,0.21522253705188632
40,12.796768,13.10511,545.14453125,6.654596328735352,103.41567338501876,545.14453125,3326.5078125,583.66015625,0.1999999999999993,0.19339428294915706
41,13.10511,13.30966,545.14453125,6.654596328735352,99.61843201016599,545.14453125,3326.5078125,583.66015625,0.21000000000000085,0.2108043619664386
42,13.30966,13.97388,545.14453125,6.654596328735352,100.67310224554349,545.14453125,3326.5078125,583.66015625,0.2099999999999973,0.20859593607019633
43,13.97388,14.273798,545.14453125,6.654596328735352,97.38219572555147,545.14453125,3326.5078125,583.66015625,0.22000000000000242,0.22591398598160595
44,14.273798,15.182065,545.14453125,6.654596328735352,99.41712323397388,545.14453125,3326.5078125,583.66015625,0.23999999999999844,0.2414071059320122
45,15.182065,15.386599,545.14453125,6.654596328735352,100.5521434453461,545.14453125,3326.5078125,583.66015625,0.25,0.24862722109537572
46,15.386599,16.099301,545.14453125,6.654596328735352,99.10604292617833,545.14453125,3326.5078125,583.66015625,0.26000000000000156,0.26234525395557284
47,16.099301,16.251985,545.14453125,6.654596328735352,101.30563338219875,545.14453125,3326.5078125,583.66015625,0.2699999999999996,0.2665202229982242
48,16.251985,16.412976,545.14453125,6.654596328735352,100.65994322722744,545.14453125,3326.5078125,583.66015625,0.23000000000000043,0.22849208198022097
49,16.412976,16.541576,545.14453125,6.654596328735352,99.37535673125221,545.14453125,3326.5078125,583.66015625,0.23999999999999844,0.24150856700725853
