second_bucket,total_packets,total_hits,reactive_hits,speculative_hits,reactive_flows,speculative_flows,total_flows,hitrate,speculation_efficiency
61,504.0,397.0,391.0,6.0,1922.0,28.0,1950.0,78.76984126984127,1.0686883449031788
62,126.0,109.0,104.0,5.0,1776.0,24.0,1800.0,86.5079365079365,3.605769230769231
63,72.0,35.0,31.0,4.0,1786.0,14.0,1800.0,48.61111111111111,16.589861751152075
64,51.0,39.0,35.0,4.0,1340.0,10.0,1350.0,76.47058823529412,15.428571428571427
65,108.0,26.0,23.0,3.0,1483.0,17.0,1500.0,24.074074074074073,11.508951406649615
66,57.0,33.0,29.0,4.0,1486.0,14.0,1500.0,57.89473684210527,14.778325123152708
67,69.0,41.0,34.0,7.0,1929.0,21.0,1950.0,59.42028985507246,19.11764705882353
68,69.0,27.0,25.0,2.0,1344.0,6.0,1350.0,39.130434782608695,18.0
69,42.0,30.0,26.0,4.0,1339.0,11.0,1350.0,71.42857142857143,18.881118881118883
70,51.0,21.0,19.0,2.0,1343.0,7.0,1350.0,41.17647058823529,20.30075187969925
71,36.0,17.0,14.0,3.0,1034.0,16.0,1050.0,47.22222222222222,14.0625
72,36.0,15.0,13.0,2.0,1188.0,12.0,1200.0,41.66666666666667,15.384615384615385
73,24.0,12.0,10.0,2.0,1042.0,8.0,1050.0,50.0,26.25
74,75.0,22.0,21.0,1.0,1195.0,5.0,1200.0,29.333333333333332,11.428571428571429
75,45.0,20.0,18.0,2.0,1340.0,10.0,1350.0,44.44444444444444,14.999999999999998
76,18.0,15.0,14.0,1.0,744.0,6.0,750.0,83.33333333333334,8.928571428571427
77,27.0,27.0,26.0,1.0,1039.0,11.0,1050.0,100.0,3.6713286713286717
78,66.0,33.0,32.0,1.0,1480.0,20.0,1500.0,50.0,2.34375
79,36.0,17.0,15.0,2.0,1191.0,9.0,1200.0,47.22222222222222,17.77777777777778
80,27.0,23.0,22.0,1.0,748.0,2.0,750.0,85.18518518518519,17.045454545454547
81,315.0,156.0,154.0,2.0,1639.0,11.0,1650.0,49.523809523809526,1.948051948051948
82,18.0,18.0,16.0,2.0,890.0,10.0,900.0,100.0,11.25
83,51.0,18.0,16.0,2.0,1484.0,16.0,1500.0,35.294117647058826,11.71875
84,42.0,23.0,22.0,1.0,1195.0,5.0,1200.0,54.761904761904766,10.90909090909091
85,63.0,42.0,40.0,2.0,1495.0,5.0,1500.0,66.66666666666666,15.0
86,39.0,24.0,23.0,1.0,1346.0,4.0,1350.0,61.53846153846154,14.673913043478262
87,27.0,19.0,17.0,2.0,897.0,3.0,900.0,70.37037037037037,35.29411764705882
88,42.0,32.0,30.0,2.0,1494.0,6.0,1500.0,76.19047619047619,16.666666666666668
89,54.0,27.0,26.0,1.0,1492.0,8.0,1500.0,50.0,7.211538461538463
90,81.0,63.0,61.0,2.0,1794.0,6.0,1800.0,77.77777777777779,9.836065573770492
91,54.0,39.0,36.0,3.0,1488.0,12.0,1500.0,72.22222222222221,10.416666666666666
92,42.0,35.0,32.0,3.0,1334.0,16.0,1350.0,83.33333333333334,7.91015625
93,111.0,111.0,107.0,4.0,1343.0,7.0,1350.0,100.0,7.209612817089452
94,21.0,21.0,19.0,2.0,1046.0,4.0,1050.0,100.0,27.63157894736842
95,78.0,35.0,33.0,2.0,1190.0,10.0,1200.0,44.871794871794876,7.272727272727273
96,42.0,42.0,40.0,2.0,1780.0,20.0,1800.0,100.0,4.5
97,54.0,30.0,29.0,1.0,1486.0,14.0,1500.0,55.55555555555556,3.694581280788177
98,36.0,32.0,32.0,0.0,1342.0,8.0,1350.0,88.88888888888889,0.0
99,33.0,31.0,30.0,1.0,1189.0,11.0,1200.0,93.93939393939394,3.6363636363636362
100,24.0,16.0,16.0,0.0,745.0,5.0,750.0,66.66666666666666,0.0
101,21.0,18.0,17.0,1.0,896.0,4.0,900.0,85.71428571428571,13.235294117647058
102,234.0,191.0,191.0,0.0,1642.0,8.0,1650.0,81.62393162393163,0.0
103,45.0,25.0,25.0,0.0,1200.0,0.0,1200.0,55.55555555555556,0.0
104,30.0,27.0,27.0,0.0,1050.0,0.0,1050.0,90.0,0.0
105,99.0,90.0,90.0,0.0,1350.0,0.0,1350.0,90.9090909090909,0.0
106,33.0,31.0,31.0,0.0,1200.0,0.0,1200.0,93.93939393939394,0.0
107,42.0,40.0,40.0,0.0,1350.0,0.0,1350.0,95.23809523809523,0.0
108,42.0,21.0,21.0,0.0,1497.0,3.0,1500.0,50.0,0.0
109,36.0,32.0,32.0,0.0,1044.0,6.0,1050.0,88.88888888888889,0.0
110,36.0,27.0,27.0,0.0,1188.0,12.0,1200.0,75.0,0.0
111,330.0,323.0,323.0,0.0,1800.0,0.0,1800.0,97.87878787878788,0.0
112,33.0,27.0,27.0,0.0,1050.0,0.0,1050.0,81.81818181818183,0.0
113,66.0,30.0,30.0,0.0,1500.0,0.0,1500.0,45.45454545454545,0.0
114,27.0,26.0,26.0,0.0,1200.0,0.0,1200.0,96.29629629629629,0.0
115,39.0,28.0,28.0,0.0,1350.0,0.0,1350.0,71.7948717948718,0.0
116,48.0,27.0,27.0,0.0,1500.0,0.0,1500.0,56.25,0.0
117,48.0,36.0,36.0,0.0,1650.0,0.0,1650.0,75.0,0.0
118,60.0,38.0,38.0,0.0,1500.0,0.0,1500.0,63.33333333333333,0.0
119,51.0,36.0,36.0,0.0,1650.0,0.0,1650.0,70.58823529411765,0.0
120,48.0,33.0,33.0,0.0,1650.0,0.0,1650.0,68.75,0.0
121,84.0,50.0,50.0,0.0,1794.0,6.0,1800.0,59.523809523809526,0.0
122,75.0,54.0,54.0,0.0,1650.0,0.0,1650.0,72.0,0.0
123,39.0,24.0,24.0,0.0,1350.0,0.0,1350.0,61.53846153846154,0.0
124,33.0,21.0,21.0,0.0,1200.0,0.0,1200.0,63.63636363636363,0.0
125,93.0,75.0,75.0,0.0,1350.0,0.0,1350.0,80.64516129032258,0.0
126,63.0,35.0,35.0,0.0,1800.0,0.0,1800.0,55.55555555555556,0.0
127,48.0,24.0,22.0,2.0,894.0,6.0,900.0,50.0,13.636363636363637
128,48.0,28.0,26.0,2.0,1492.0,8.0,1500.0,58.333333333333336,14.423076923076925
129,45.0,28.0,24.0,4.0,1483.0,17.0,1500.0,62.22222222222222,14.705882352941174
130,51.0,33.0,29.0,4.0,1332.0,18.0,1350.0,64.70588235294117,10.344827586206895
131,39.0,27.0,23.0,4.0,1329.0,21.0,1350.0,69.23076923076923,11.180124223602485
132,39.0,27.0,21.0,6.0,1184.0,16.0,1200.0,69.23076923076923,21.428571428571427
133,36.0,24.0,20.0,4.0,1332.0,18.0,1350.0,66.66666666666666,15.0
134,39.0,18.0,14.0,4.0,1336.0,14.0,1350.0,46.15384615384615,27.551020408163264
135,63.0,22.0,20.0,2.0,1181.0,19.0,1200.0,34.92063492063492,6.315789473684211
136,27.0,24.0,20.0,4.0,1035.0,15.0,1050.0,88.88888888888889,14.000000000000002
137,36.0,22.0,20.0,2.0,892.0,8.0,900.0,61.111111111111114,11.25
138,102.0,58.0,54.0,4.0,1330.0,20.0,1350.0,56.86274509803921,4.999999999999999
139,30.0,20.0,18.0,2.0,892.0,8.0,900.0,66.66666666666666,12.5
140,42.0,28.0,26.0,2.0,1340.0,10.0,1350.0,66.66666666666666,10.384615384615385
