id,arrival_time,switch_processing_time,control_plane_delay,total_delay,is_hit,is_speculative
0,0.0,3.6324716128740935e-09,0.008455238043146573,0.008455241675618187,0,1
1,0.000123,1.4443740450294227e-10,0.0018816458153392002,0.0018816459597766047,0,1
2,0.065516,5.780311669746243e-09,0.01795146374137157,0.01795146952168324,0,1
3,0.125605,1.8333826795926492e-09,0.022406726389862634,0.022406728223245312,0,1
4,0.138757,6.392473624512511e-09,0.0021064566897620184,0.002106463082235643,0,1
5,0.190342,4.039733756040662e-09,0.004340682361229479,0.004340686400963235,0,1
6,0.298227,1.0038070696963307e-09,0.015399200674701826,0.015399201678508896,0,1
7,0.329954,1.6831548831271298e-08,0.002644261490504778,0.0026442783220536094,0,1
8,0.377163,4.363012233913593e-10,0.0,4.363012233913593e-10,1,0
9,0.377205,4.626006848404127e-09,0.01305609732583617,0.013056101951843018,0,1
10,0.388521,1.6164690731584683e-09,0.0,1.6164690731584683e-09,1,1
11,0.563713,5.780777928162576e-09,0.007295362529246487,0.007295368310024415,0,1
12,0.786454,2.4849670821883043e-10,0.0,2.4849670821883043e-10,1,0
13,0.833198,7.41741616297611e-10,0.0020698410398593764,0.002069841781600993,0,1
14,0.896602,2.5852172996896062e-08,0.0,2.5852172996896062e-08,1,0
15,1.101064,3.6767818994886522e-09,0.0,3.6767818994886522e-09,1,1
16,1.131624,4.3231132724032255e-09,0.013273428870136201,0.013273433193249473,0,1
17,1.14016,3.904013158017474e-09,0.024436137505856145,0.024436141409869303,0,1
18,1.143916,8.24922056568661e-09,0.0,8.24922056568661e-09,1,0
19,1.348419,2.579172659586943e-09,0.004419595158121997,0.004419597737294657,0,1
20,1.350826,1.5274940101567962e-08,0.00421033028620793,0.004210345561148032,0,1
21,1.351265,1.0016100770778866e-08,0.0,1.0016100770778866e-08,1,0
22,1.834237,8.867958894413069e-09,0.007725399062206058,0.007725407930164952,0,1
23,1.920241,1.2785411140049553e-08,0.0010219495330255721,0.001021962318436712,0,1
24,2.124754,5.426470630101998e-10,0.0,5.426470630101998e-10,1,0
25,2.141278,6.045048938201085e-09,0.022116469030467715,0.022116475075516652,0,1
26,2.322545,8.691503639298188e-10,0.0032237365321752414,0.0032237374013256055,0,1
27,2.322897,5.5812068029897345e-09,0.001794893201894281,0.0017948987831010838,0,1
28,2.962379,6.042768680771683e-09,0.0,6.042768680771683e-09,1,1
29,3.166878,3.3435922549496717e-09,0.0,3.3435922549496717e-09,1,0
30,3.361572,5.707772774639102e-09,0.007371997885758101,0.007372003593530876,0,1
31,3.673047,2.2183246102862372e-10,0.0,2.2183246102862372e-10,1,0
32,3.875735,1.2676053280891352e-09,0.008561487838624827,0.008561489106230155,0,1
33,3.972952,6.416314428636912e-10,0.0,6.416314428636912e-10,1,1
34,4.059756,3.4669031770499743e-09,0.0,3.4669031770499743e-09,1,0
35,4.081156,7.425555422418749e-10,0.0,7.425555422418749e-10,1,0
36,4.129804,2.71269421424789e-10,0.0,2.71269421424789e-10,1,0
37,4.215684,9.817591470791254e-10,0.0,9.817591470791254e-10,1,0
38,4.249549,2.920281341074014e-09,0.021003573573017957,0.021003576493299297,0,1
39,4.250969,1.4905610517354363e-08,0.0,1.4905610517354363e-08,1,0
40,4.881577,3.2520423218041945e-09,0.006182611468494429,0.006182614720536751,0,1
41,4.919386,5.0707449528683705e-09,0.0,5.0707449528683705e-09,1,1
42,5.086532,1.9623100532942617e-09,0.001250849847734961,0.0012508518100450144,0,1
43,5.123898,2.6226455028242204e-10,0.0,2.6226455028242204e-10,1,0
44,5.182085,5.075842817177567e-09,0.0,5.075842817177567e-09,1,0
45,5.182195,8.36364325950661e-09,0.0,8.36364325950661e-09,1,0
46,5.182278,5.547260442962748e-09,0.0,5.547260442962748e-09,1,0
47,5.182362,5.274427515765704e-09,0.0,5.274427515765704e-09,1,0
48,5.182447,2.7631792783560245e-09,0.0,2.7631792783560245e-09,1,0
49,5.18253,5.344228746816229e-09,0.0,5.344228746816229e-09,1,0
50,5.182679,1.1733075127716597e-09,0.0,1.1733075127716597e-09,1,0
51,5.182772,5.392938413395813e-09,0.0,5.392938413395813e-09,1,0
52,5.185612,3.771108129409805e-09,0.0,3.771108129409805e-09,1,0
53,5.18573,6.901966430819054e-09,0.0,6.901966430819054e-09,1,0
54,5.186045,4.922381896949013e-10,0.0,4.922381896949013e-10,1,0
55,5.186147,7.674478832886241e-09,0.0,7.674478832886241e-09,1,0
56,5.186234,5.8116283528605725e-09,0.0,5.8116283528605725e-09,1,0
57,5.18632,5.938504505496335e-09,0.0,5.938504505496335e-09,1,0
58,5.462667,3.434498877457346e-09,0.0,3.434498877457346e-09,1,0
59,5.463535,1.8517149406923777e-08,0.0,1.8517149406923777e-08,1,0
60,5.465174,1.1378141384956267e-09,0.0,1.1378141384956267e-09,1,0
61,5.465256,1.7763825371266895e-09,0.0,1.7763825371266895e-09,1,0
62,5.467449,1.2916254677251252e-09,0.0,1.2916254677251252e-09,1,0
63,5.469024,2.4683830301258437e-10,0.0,2.4683830301258437e-10,1,0
64,5.469101,1.1715543860730647e-08,0.0,1.1715543860730647e-08,1,0
65,5.470314,4.1747078654741074e-10,0.0,4.1747078654741074e-10,1,0
66,5.471487,4.672480642386138e-09,0.0,4.672480642386138e-09,1,0
67,5.473724,4.9827164194941295e-09,0.0,4.9827164194941295e-09,1,0
68,5.473948,2.3736091676035997e-09,0.0,2.3736091676035997e-09,1,0
69,5.475318,6.664727432328589e-11,0.0,6.664727432328589e-11,1,0
70,5.476459,9.232749468346212e-09,0.0,9.232749468346212e-09,1,0
71,5.476604,2.4301589519194584e-09,0.0,2.4301589519194584e-09,1,0
72,5.478523,4.011082215362694e-09,0.0,4.011082215362694e-09,1,0
73,5.480367,6.198658676272817e-09,0.0,6.198658676272817e-09,1,0
74,5.480446,5.623942335796882e-09,0.0,5.623942335796882e-09,1,0
75,5.481395,5.930085957125163e-09,0.0,5.930085957125163e-09,1,0
76,5.482612,2.096223823953327e-09,0.0,2.096223823953327e-09,1,0
77,5.483261,2.658463878552725e-09,0.0,2.658463878552725e-09,1,0
78,5.484442,1.3708091908889485e-09,0.03468490932535347,0.03468491069616266,0,1
79,5.486798,1.7022999390167262e-09,0.0,1.7022999390167262e-09,1,0
80,5.540494,7.968055603018214e-10,0.0013850423944641388,0.0013850431912696992,0,1
81,5.590082,1.4417024952877951e-08,0.0,1.4417024952877951e-08,1,0
82,5.591464,2.1649595746220345e-09,0.0,2.1649595746220345e-09,1,0
83,5.71339,6.613173877565557e-09,0.024521242345864766,0.024521248959038643,0,1
84,5.71424,6.036349405475811e-09,0.0,6.036349405475811e-09,1,0
85,5.714325,2.4594573253040804e-09,0.0,2.4594573253040804e-09,1,0
86,5.714393,1.42589639426725e-08,0.0,1.42589639426725e-08,1,0
87,5.717825,6.668345065638308e-09,0.002724183421389048,0.002724190089734114,0,1
88,5.718723,8.67993237418175e-09,0.0,8.67993237418175e-09,1,0
89,5.7188,7.148378247166031e-09,0.0,7.148378247166031e-09,1,0
90,5.72141,2.510230335859621e-09,0.0022337847553027404,0.002233787265533076,0,1
91,5.722451,6.2343401711615935e-09,0.0,6.2343401711615935e-09,1,0
92,5.723226,9.331625170732236e-09,0.0,9.331625170732236e-09,1,0
93,5.723318,2.2994470823846705e-09,0.0,2.2994470823846705e-09,1,0
94,5.724652,2.8722016943476997e-09,0.0,2.8722016943476997e-09,1,1
95,5.734385,2.2049251694525466e-09,0.0,2.2049251694525466e-09,1,1
96,5.735334,1.3704569402968735e-09,0.0,1.3704569402968735e-09,1,0
97,5.757115,5.2976041874035655e-09,0.0,5.2976041874035655e-09,1,1
98,5.7572,2.475082912111623e-09,0.0,2.475082912111623e-09,1,0
99,5.758169,5.361551462525808e-09,0.0,5.361551462525808e-09,1,0
100,5.758247,2.2492277182279234e-09,0.0,2.2492277182279234e-09,1,0
101,5.759633,2.2041819078455843e-09,0.0,2.2041819078455843e-09,1,0
102,5.759721,1.086127987966672e-09,0.0,1.086127987966672e-09,1,1
103,5.759791,2.1835788843459173e-08,0.0,2.1835788843459173e-08,1,0
104,5.760176,1.1790679984463542e-10,0.0,1.1790679984463542e-10,1,1
105,5.763576,3.971255462739123e-09,0.0,3.971255462739123e-09,1,0
106,5.763623,4.115230400811929e-09,0.0,4.115230400811929e-09,1,1
107,5.763999,3.884818704857992e-10,0.0,3.884818704857992e-10,1,0
108,5.764619,1.1140682739582157e-08,0.0,1.1140682739582157e-08,1,1
109,5.76526,5.861698095292875e-10,0.0,5.861698095292875e-10,1,0
110,5.766194,4.914469595280236e-09,0.0,4.914469595280236e-09,1,0
111,5.766255,5.315249105002022e-10,0.0,5.315249105002022e-10,1,0
112,5.766942,6.2040967023420625e-09,0.0,6.2040967023420625e-09,1,0
113,5.767258,1.0657022885749643e-08,0.0,1.0657022885749643e-08,1,0
114,5.767318,5.941973265492893e-09,0.0,5.941973265492893e-09,1,0
115,5.769182,1.5474078140575907e-09,0.0,1.5474078140575907e-09,1,0
116,5.769242,1.203771732933439e-08,0.0,1.203771732933439e-08,1,0
117,5.769304,4.3329615974837885e-09,0.0,4.3329615974837885e-09,1,0
118,5.76962,2.2289899781010238e-09,0.0,2.2289899781010238e-09,1,0
119,5.769683,9.574188019454974e-09,0.0,9.574188019454974e-09,1,0
120,5.770036,1.4130031086107512e-09,0.0,1.4130031086107512e-09,1,0
121,5.775121,7.580742170971948e-09,0.0,7.580742170971948e-09,1,1
122,5.775599,2.3288878781506755e-10,0.0,2.3288878781506755e-10,1,1
123,5.775644,1.0815906880200626e-08,0.0,1.0815906880200626e-08,1,1
124,5.775676,1.6177292625348308e-09,0.0,1.6177292625348308e-09,1,0
125,5.775704,4.348519743074888e-09,0.0,4.348519743074888e-09,1,0
126,5.77576,1.207665645012338e-08,0.0,1.207665645012338e-08,1,0
127,5.775792,2.452533036087206e-08,0.0,2.452533036087206e-08,1,1
128,5.775845,3.212210336851935e-10,0.0,3.212210336851935e-10,1,1
129,5.775908,1.3188991244930977e-08,0.0,1.3188991244930977e-08,1,0
130,5.775962,3.6403559932429642e-09,0.0,3.6403559932429642e-09,1,0
131,5.77666,1.4536966765036727e-08,0.0,1.4536966765036727e-08,1,0
132,5.776723,3.958555166568446e-09,0.0,3.958555166568446e-09,1,0
133,5.77676,1.5337239507154167e-09,0.0,1.5337239507154167e-09,1,0
134,5.778242,5.209460832343711e-09,0.0,5.209460832343711e-09,1,0
135,5.78133,3.108649950690276e-09,0.0,3.108649950690276e-09,1,0
136,5.782881,4.984890087121557e-09,0.0,4.984890087121557e-09,1,0
137,5.783366,3.5793806826070345e-09,0.0,3.5793806826070345e-09,1,0
138,5.784102,1.257592225793411e-09,0.0,1.257592225793411e-09,1,0
139,5.784168,6.6306153526443034e-09,0.0,6.6306153526443034e-09,1,0
140,5.785068,8.038730876224416e-09,0.0,8.038730876224416e-09,1,0
141,5.786124,1.0462498497356914e-08,0.0,1.0462498497356914e-08,1,0
142,5.787352,1.8021513731807046e-09,0.0,1.8021513731807046e-09,1,0
143,5.787424,4.698713780243613e-09,0.0,4.698713780243613e-09,1,1
144,5.796352,4.4416198975995417e-10,0.0,4.4416198975995417e-10,1,0
145,5.797125,1.922270659111988e-09,0.0,1.922270659111988e-09,1,0
146,5.802126,8.450507860157551e-09,0.0,8.450507860157551e-09,1,1
147,5.802998,1.029452614871906e-08,0.0,1.029452614871906e-08,1,0
148,5.811171,1.1068639908550631e-08,0.0,1.1068639908550631e-08,1,1
149,5.812142,5.85446192967659e-09,0.0,5.85446192967659e-09,1,0
150,5.812823,1.2382344417931584e-08,0.0,1.2382344417931584e-08,1,0
151,5.812899,2.614451150536874e-09,0.0,2.614451150536874e-09,1,0
152,5.814995,8.873285567250188e-10,0.0,8.873285567250188e-10,1,1
153,5.815646,1.0172628844107736e-09,0.0,1.0172628844107736e-09,1,1
154,5.815719,1.2665398508636647e-09,0.0,1.2665398508636647e-09,1,1
155,5.816708,5.946841087493669e-12,0.0,5.946841087493669e-12,1,0
156,5.82478,1.285969248438409e-09,0.0,1.285969248438409e-09,1,0
157,5.8249,1.3366752551878998e-08,0.0,1.3366752551878998e-08,1,0
158,5.838343,6.706959726142201e-09,0.02494680671298593,0.024946813419945656,0,1
159,5.94951,4.6253704780778186e-09,0.006059049890412277,0.006059054515782755,0,1
160,5.981374,1.8805915517999447e-09,0.0,1.8805915517999447e-09,1,0
161,5.982204,2.3981035688468757e-09,0.0,2.3981035688468757e-09,1,0
162,5.988316,5.147465293026647e-09,0.0,5.147465293026647e-09,1,0
163,5.994028,8.213228935164704e-09,0.0,8.213228935164704e-09,1,0
164,5.995737,6.993441644173741e-10,0.0,6.993441644173741e-10,1,0
165,5.997315,6.557142879602301e-09,0.0,6.557142879602301e-09,1,0
166,5.998869,2.726477773126543e-11,0.0,2.726477773126543e-11,1,0
167,5.999975,5.258567035478917e-09,0.0,5.258567035478917e-09,1,0
168,6.001674,3.0169762998598203e-09,0.0,3.0169762998598203e-09,1,0
169,6.001754,1.1197520243729276e-09,0.0,1.1197520243729276e-09,1,0
170,6.006157,4.986541141351876e-09,0.0,4.986541141351876e-09,1,0
171,6.006514,8.975712742425395e-11,0.0,8.975712742425395e-11,1,0
172,6.006572,9.117819530091896e-09,0.0,9.117819530091896e-09,1,0
173,6.007621,3.7279531980356515e-09,0.0,3.7279531980356515e-09,1,0
174,6.007954,2.3176265464997725e-09,0.0,2.3176265464997725e-09,1,0
